Nama,Phone,Area
SAUT MR,6282294817778,Rantau
RIA,6285273629826,Rantau
SMK 2 LHOKSUKON,6285200156332,Aceh Timur
REZEKI CELL,6285367850772,Aceh Timur
BERJAYA,6282257226560,Aceh Timur
AGEN TAKENGON,6282113972314,Aceh Timur
UD. FAJAR,6285392081341,Aceh Utara
BACUT SAPEU,6282318449546,Aceh Utara
HUSNI,6285763522598,Aceh Utara
JASA POMA LAMNO,6285359482787,Aceh Utara
USAHA ALFATA,6281362741781,Aceh Utara
BARAKAH SWALAYAN,6285277126609,Aceh Utara
WARKOP KAK NAILIS LAMNO,6285123077296,Aceh Utara
TOKO REVAN ELEKTRONIK LAMNO,6285226834100,Aceh Utara
ROHID CELL,6282368047244,Aceh Utara
SULAIMANIYAH HABIBI CENTER,6282236033413,Aceh Utara
TOKO SALMAWATI SAMPOINIET LAMNO,6282267776131,Aceh Utara
ALAIN KOPI LAMNO,6282360851021,Aceh Utara
UD. FALISYA LAMNO,6281360032096,Aceh Utara
EL MART,6282260016214,Aceh Utara
RESKI BERKAH,6282365550931,Aceh Utara
SD 40,62821897773450,Aceh Utara
KIOS PAK UDIN,6285261393651,Aceh Utara
TERMINAL JAYA,6285380280215,Aceh Utara
MULTAZAM,6281259591514,Aceh Utara
LIDYA CELL,6282220745330,Aceh Utara
BERKAH JAYA CELL,6285272771516,Aceh Utara
ABU,62895600224767,Aceh Utara
UD. RAYKAL 888,6282363337748,Aceh Utara
TUAH PUSAKA 2,6285260543668,Aceh Utara
KANTIN POLITEKNIK,6285260488717,Aceh Utara
SENTOSA SP.4,6282272116865,Aceh Utara
MURAH 2 LAMNO,6282261858359,Aceh Utara
ARSYAD JAYA,6285261558531,Aceh Utara
PENG SION LAMNO,6285277775164,Aceh Utara
MIE ARKANA LAMNO,6285362364460,Aceh Utara
UD. JUL LAMNO,6281269979204,Aceh Utara
KIOS TGK. KAUSAR LAMNO,6285373343287,Aceh Utara
HIJRAH RUKOH,62895428341661,Aceh Utara
FAKULTAS TEKNIK USK,6285260290975,Aceh Utara
FZ SWALAYAN,6282260123779,Aceh Utara
BINTANG BIRU,6285324001896,Aceh Utara
KANTIN DAYAH MADANI PUTRI,6281328788103,Aceh Utara
WAHANA IMPIAN MALAKA,6285206349217,Aceh Utara
ADEK ABANG SIBREH,6285373452771,Aceh Utara
KANTIN METHODIST,6281260339767,Aceh Utara
AROL SWALAYAN,628984176096,Aceh Utara
UD. TAUFIQ SABANG,6282363631143,Aceh Utara
TASIK MALAYA SABANG,6282360137778,Aceh Utara
M. ALIF,6282283729559,Aceh Utara
AQIL JAYA SABANG,6285359663207,Aceh Utara
TOKO FERDI,6282369265770,Aceh Utara
BANG SAYUR,6285277191266,Aceh Utara
AHMAD YANI BAYU,6282385735461,Aceh Utara
BARONA,6285362796493,Aceh Utara
MIN 28 ACEH BESAR,6282312850253,Aceh Utara
AL AZZAM MART,6285261518866,Aceh Utara
BARAKAH SWALAYAN,6281375386049,Aceh Utara
KANTIN DAYAH TU BULQAINI,6282370411831,Aceh Utara
KANTIN SMANSA UNGGUL TRIYA,6281262320084,Kabanjahe
TOKO ADIT ,6281361581083,Kabanjahe
UD BERKAH MAJU ,6281260654772,Kabanjahe
TOKO BINA SAUDARA,6282363613286,Kabanjahe
TOKO UJUNG PADANG 2/ USAHA YAKIN,628229222398,Kabanjahe
TOKO HERDI LABUHAN HAJI ,6281269076984,Kabanjahe
